Month,Illinois,Colorado,Wisconsin
Jan 2019,148.5238,156.1364,136.1563
Feb 2019,163.6190,153.9500,139.4338
Mar 2019,154.4048,155.7727,155.9375
Apr 2019,167.3095,177.0500,151.3676
May 2019,194.8810,176.7000,170.5217
Jun 2019,191.3333,154.1000,165.0294
Jul 2019,178.6905,157.8636,171.5000
Aug 2019,186.6429,147.6818,185.6288
Sep 2019,174.7381,156.2727,180.9930
Oct 2019,170.3571,160.5909,182.6319
Nov 2019,177.8810,146.3182,194.8841
Dec 2019,195.9286,152.1364,181.7254
Jan 2020,194.5952,170.7273,201.3099
Feb 2020,206.3571,179.0909,201.8897
Mar 2020,167.3333,157.5455,186.0809
Apr 2020,189.2500,187.9091,176.9262
May 2020,190.3235,198.5000,226.3188
Jun 2020,271.8810,209.0455,242.2000
Jul 2020,238.5476,197.7727,225.5286
Aug 2020,256.4048,204.7727,248.6912
Sep 2020,259.5500,220.5000,242.6528
Oct 2020,303.9762,224.7727,246.9143
Nov 2020,264.7500,195.4091,250.2465
Dec 2020,255.2143,247.7500,230.6875
Jan 2021,275.6750,221.0500,242.3662
Feb 2021,310.9524,217.0500,242.9577
Mar 2021,253.7857,225.7000,249.3310
Apr 2021,283.0000,239.6000,253.0000
May 2021,301.8095,217.4500,261.4143
Jun 2021,279.4286,213.5500,246.1944
Jul 2021,231.4048,221.9500,270.8929
Aug 2021,287.5750,212.1500,255.0493
Sep 2021,309.5476,212.8000,258.7113
Oct 2021,295.8333,233.1000,268.0903
Nov 2021,252.4500,209.6000,261.2817
Dec 2021,244.0000,221.1000,284.2153
Jan 2022,335.6905,211.9000,280.4583
Feb 2022,244.5476,206.8500,291.1875
Mar 2022,237.7381,218.4000,306.3662
Apr 2022,291.9524,239.1500,287.6071
May 2022,281.5000,226.2500,318.3958
Jun 2022,254.6667,219.9500,297.3194
Jul 2022,277.1905,228.9545,310.2465
Aug 2022,218.0000,242.0000,302.1181
Sep 2022,209.9524,202.7000,307.7222
Oct 2022,195.5238,185.0455,314.3944
Nov 2022,231.6905,186.9000,304.5634
Dec 2022,249.5000,190.5500,286.0704
Jan 2023,276.0000,203.4500,321.6319
Feb 2023,229.2250,226.6364,309.5278
Mar 2023,259.3810,234.7000,291.8958
Apr 2023,255.7143,192.7000,295.4931
May 2023,220.4048,197.3000,341.3264
Jun 2023,233.0789,195.3000,303.6620
Jul 2023,246.4762,181.2500,300.5775
Aug 2023,222.5952,188.6000,328.5986
Sep 2023,210.9500,207.3500,270.7292
Oct 2023,261.5714,190.2000,295.8451
Nov 2023,243.1190,195.1500,299.6042
Dec 2023,269.3095,193.7000,297.2639
Jan 2024,242.3333,193.6500,302.0845
Feb 2024,303.5238,189.9000,320.0986
Mar 2024,250.8333,189.2000,289.7847
Apr 2024,210.1905,206.9000,297.2535
May 2024,258.5714,213.1000,325.6597
Jun 2024,251.2143,197.2500,318.4859
Jul 2024,210.1190,202.4000,304.3958
Aug 2024,256.2857,203.6000,313.4792
Sep 2024,236.9286,188.1000,293.0764
Oct 2024,217.7381,177.8000,307.4236
Nov 2024,197.6190,175.4000,298.4143
Dec 2024,223.5238,183.1000,307.3681
