County,2019,2020,2021,2022,2023,Change in Median Days to Disposition,2019 hearings,2020 hearings,2021 hearings,2022 hearings,2023 hearings,Change in Average Number of Hearings per Case,Felony Cases 2023,2019 hearing times,2020 hearing times,2021 hearing times,2022 hearing times,2023 hearing times,Change in Average Days Between Hearings
"Boone County, IL",105.00,207.00,217.00,178.00,181.00,76.00,13.28,19.05,19.98,19.38,20.84,7.55,297,9.00,11.46,12.28,11.63,10.66,1.66
"Carroll County, IL",106.00,208.50,197.00,271.00,184.00,78.00,7.55,10.32,11.38,13.37,12.46,4.91,70,14.89,20.75,22.34,18.06,17.61,2.72
"Edwards County, IL",70.00,148.00,259.50,249.00,119.50,49.50,5.54,8.74,12.13,13.61,11.76,6.22,46,17.20,22.28,24.81,21.73,17.63,0.43
"Ford County, IL",110.00,227.00,379.00,220.00,218.00,108.00,9.53,12.49,15.29,13.67,13.61,4.08,91,14.21,21.25,25.88,21.35,22.45,8.24
"Franklin County, IL",114.00,225.00,311.00,398.00,309.00,195.00,6.16,10.19,13.63,17.44,19.38,13.21,437,17.91,22.21,24.90,22.36,21.24,3.33
"Fulton County, IL",106.00,252.00,313.50,341.00,459.50,353.50,4.16,4.77,7.87,11.92,17.43,13.27,284,27.87,44.86,39.88,34.21,27.90,0.03
"Hancock County, IL",126.00,147.00,277.00,147.00,223.00,97.00,8.66,10.02,12.67,11.05,13.25,4.59,60,15.80,17.58,23.00,17.52,19.28,3.48
"Henderson County, IL",106.50,159.00,195.00,275.00,278.00,171.50,7.93,10.07,12.21,12.72,13.31,5.38,42,15.67,16.74,18.90,23.20,21.80,6.13
"Jefferson County, IL",52.00,175.00,256.00,189.50,203.50,151.50,7.25,11.86,14.57,14.58,14.45,7.19,454,9.11,16.85,19.55,16.55,15.78,6.67
"Jo Daviess County, IL",86.00,278.50,182.50,149.00,130.50,44.50,7.31,13.61,10.94,8.48,10.01,2.70,74,15.21,24.44,19.20,15.77,15.99,0.78
"Knox County, IL",107.50,213.00,246.00,226.00,176.00,68.50,10.40,13.47,17.06,17.37,14.77,4.37,527,11.42,16.33,17.24,16.49,16.36,4.94
"Lawrence County, IL",60.00,169.00,161.00,72.00,75.00,15.00,5.39,11.24,12.36,8.82,7.36,1.98,139,13.18,19.19,17.92,17.76,15.39,2.21
"Livingston County, IL",113.00,273.00,358.00,314.00,240.00,127.00,9.81,16.23,18.30,16.94,14.78,4.96,393,12.54,19.21,19.88,20.01,18.34,5.80
"Logan County, IL",99.00,234.50,365.00,350.00,420.00,321.00,7.80,11.28,14.75,15.29,18.85,11.05,238,15.29,25.77,25.98,24.97,25.29,10.00
"McDonough County, IL",99.00,167.00,220.00,287.50,222.00,123.00,8.90,11.76,16.10,16.46,17.03,8.13,159,12.54,16.98,16.39,20.68,17.52,4.99
"Ogle County, IL",148.00,309.00,258.00,216.00,186.50,38.50,10.90,15.61,17.10,16.44,17.82,6.92,286,13.12,18.92,18.04,16.02,16.51,3.39
"Richland County, IL",83.00,255.50,177.50,264.00,206.00,123.00,6.36,11.88,11.73,11.94,10.36,4.00,249,14.29,23.17,21.38,22.24,22.25,7.96
"Stephenson County, IL",56.00,126.00,211.00,170.00,160.00,104.00,7.91,10.37,15.00,14.28,16.95,9.04,349,9.82,15.91,18.20,17.05,14.87,5.05
"Warren County, IL",80.50,99.50,189.00,188.00,171.00,90.50,6.94,8.56,12.90,13.87,15.08,8.15,133,12.42,16.57,17.78,17.02,15.43,3.01
"Wayne County, IL",79.50,175.00,295.00,287.00,314.00,234.50,10.03,13.63,17.45,18.13,19.11,9.08,191,9.02,12.94,17.04,16.86,17.59,8.57
"White County, IL",40.00,70.00,81.50,58.50,49.00,9.00,4.99,6.92,8.04,6.36,6.41,1.42,159,9.78,14.37,16.85,13.87,15.50,5.71
